maSo,hoTen,capBac,donVi,ngaySinh,ngayNhapNgu,chucVu/nhiemVu,loai
B-001,Tran Son Duc,Binh nhi,Tieu doan 1,16/08/1986,10/04/2011,Truyen tin,BinhSi
B-002,Pham Tam Quang,Binh nhat,Tieu doan 2,23/03/2003,14/11/2012,Hau can,BinhSi
B-003,Do Quang Quang,Binh nhi,Tieu doan 2,25/07/2000,06/11/2013,Van chuyen,BinhSi
B-004,Vo Thanh Anh,Binh nhi,Tieu doan 1,27/09/2002,27/10/2022,Hau can,BinhSi
B-005,Vo Thi Tu,Binh nhi,Trung doan 3,27/01/1996,02/07/2010,Hau can,BinhSi
B-006,Tran Kien Anh,Binh nhi,Trung doan 3,09/07/1987,08/11/2012,Van chuyen,BinhSi
B-007,Nguyen Anh Anh,Binh nhi,Trung doan 3,23/07/1991,12/12/2014,Van chuyen,BinhSi
B-008,Tran Kien Tu,Binh nhat,Tieu doan 2,15/10/1999,23/11/2013,Van chuyen,BinhSi
B-009,Tran Tam Tu,Binh nhi,Tieu doan 1,28/09/1998,19/12/2013,Truyen tin,BinhSi
B-010,Pham Anh Duc,Binh nhat,Tieu doan 1,12/10/1999,12/05/2016,Truyen tin,BinhSi
B-011,Pham Thi Duc,Binh nhat,Trung doan 3,13/09/1994,03/07/2018,Canh gac,BinhSi
B-012,Bui Son Duc,Binh nhat,Tieu doan 2,22/01/2003,24/01/2016,Van chuyen,BinhSi
B-013,Hoang Minh Hieu,Binh nhat,Trung doan 3,27/08/1999,10/05/2021,Hau can,BinhSi
B-014,Nguyen Phu Son,Binh nhat,Tieu doan 1,12/07/1997,21/04/2013,Hau can,BinhSi
B-015,Bui Anh Mai,Binh nhi,Tieu doan 2,22/02/2003,12/12/2016,Hau can,BinhSi
B-016,Do Minh Hieu,Binh nhat,Tieu doan 1,19/10/2000,22/01/2012,Van chuyen,BinhSi
B-017,Le Tam Mai,Binh nhi,Trung doan 3,24/12/1996,26/01/2015,Canh gac,BinhSi
B-018,Tran Thanh Mai,Binh nhat,Tieu doan 1,19/06/1990,14/03/2023,Truyen tin,BinhSi
B-019,Pham Tam Duc,Binh nhat,Tieu doan 2,14/03/2002,28/10/2017,Van chuyen,BinhSi
B-020,Dang Minh Duc,Binh nhat,Tieu doan 1,17/08/1987,20/10/2019,Canh gac,BinhSi
B-021,Do Kien Duc,Binh nhi,Tieu doan 2,24/01/1988,20/03/2015,Van chuyen,BinhSi
